"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Euro area","EMU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140590","","135683","138039","141712","149094","","134545","113518","108463","91662","75589","79302","82699","97047","124998","145353","155865","164398","146823","135048","142911","143706","150613","","174338","174802","","","","179166","","",
"Spain","ESP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","516","576","1002","2051","1772","3433","4285","2320","14385","23183","48223","53950","64111","75200","82113","89453","87042","80898","72907","60574","53226","52881","50265","35806","",
"Estonia","EST","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1139","","","","","","","","","","","","","","1933","2035","2091","2124","2142","2067","2023","1912","1613","2264","",
"Ethiopia","ETH","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","4766699","4914235","5175352","","","","","6770508","6827941","6779117","","6834710","6957428","6889976","6748871","6808734","6989066","6878852","5692176","5178691","4532136","3795720","3937627","4340588","4568557","3833835","","3233009","3480628","","1827631","","","","4684443","4519772","4423953","4236782",
"European Union","EUU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3116","4435","4377","4041","3875","3868","4360","4274","4022","4355","4211","3911","4396","4679","4720","5717","5890","6695","6738","8304","7070","5088","7353","5714","",
"Fiji","FJI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10619","","9764","11688","13445","11916","10204","9474","7274","5297","5814","9464","6142","","9946","12075","13056","12974","","11871","10673","12128","8773","5600","2191.84970264911","3178.45112517581","2645.16478414524","","2945","","","","2470.57286587023",
"France","FRA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137264","138945","140553","149151","148892","3243","1136","5208","20115","36009","51322","9824","14993","23622","56322","21490","7005","2457","618","4882","768","2925","1773","4470","",
"Faroe Islands","FRO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1910","2591","1702.99965286255","1891.9999961853","898.999948501587","1580.99998092651","2792.0000743866","2787.00026893616","2905.00015640259","3445.99990844727","3301.00022315979",
"Gabon","GAB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","4716","","","","","","","","","","","","733","","","","","","","","","","27337","","","","","","","","","","","","","","","","","","","","","","77438","","","","","",
"United Kingdom","GBR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2384","2187","1174","1886","25966","3486","44924","101041","16368","31427","23362","46270","82143","84600","75762","67483","60476","38169","16273","2397","1084","1797","4189","4370","",
"Georgia","GEO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61738","54134","41939","","","","","","","","","3795","","8977","8052","","5854.82789751413","7461.75182512522","7536.359589995","7689.17448372784","6217.94428395943","6539.34023710137","5946.60677390744","5650.25317536428","5055.26578947366","3839.25253792829","2749","10243","16447","21241",
"Ghana","GHA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1342904","1104536","1282007","1157276","1166795","","988778","920149","758718","593776","624637","","438203.997070312","529329.059082031","","392763.933105469","","10368.0429729056","299178.046875","364440.028320312","251230.993164062","492043.016601562","472753","","","",
"Gibraltar","GIB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","934","955","","935","838","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.9964028776976","42.767923133777",
"Guinea","GIN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","627392","618382","649826","680847","687678","703893","727554","742398","","","","","","","746850","744047","732720","714878","635985","608452","583077","571281","551009","529351","551100","529827","477839","404485","418340","393044","335168","","391968","","","","308947","","","","",
"Gambia, The","GMB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","65491","67697","68778","70388","71704","72848","69398","67233","66144","64622","59814","58886","58455","59556","59246","61963","","","","88826","","106581","106925","","","106814","","111495","95702","105588","109049","117158","112164","113056","119773","109440","105260","116974","","114306","120244","113659","114700","110650","103478","100578","94289","90549","79864","74797","79262","80033","81428","82678",
"Guinea-Bissau","GNB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","81764","74078","","80913","82013","","93226","95033","","","","","","","","","","","","100866","","","","","","","","","","75097","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29722","","","","","","43364","42477","47194","50901","","","","","88836","92471","96571","99881","104329","","","128846","","","","","","","","","",
"Greece","GRC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1258","42270","28045","15816","14379","18417","15171","","","9572","10127","12388","14515","18430","14054","9269","12943","19606","20810","23966","24137","13","622","",
"Grenada","GRD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","1905","","","","","2920","2614","2181","2098","2289","2492","2083","1269","","","","","","","","","","","","","","","188","","","382","","318","954","","260","207","","","","","","541","","496","","14.8863057324834","","","339","","","534.642772007492",
